age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,age_group,Years_as_customer,vehicle_age,adjusted_csl,adjusted_deductible,adjusted_annual_premium,adjusted_additional_services,loss_amount,weekday,month,policy_bind_year
49.0,933293,1993-02-03,IL,500/1000,2000.0,1222.48,0,620757,Female,JD,Priv-House-Serv,Golf,Unmarried,0.0,0,2015-01-18,Parked Car,Unknown,Minor Damage,None,WV,Arlington,6676 Tree Lane,16,1,No,1,1,Yes,5330.0,1230.0,820.0,3280.0,Suburu,Legacy,2001,N,Adult,24,23,500/1000,1500,1222.48,[],4107.52,Sunday,January,1993
54.0,485664,2002-11-25,IN,500/1000,2000.0,1155.55,0,615901,Female,MD,Craft-Repair,Bungie-Jumping,Unmarried,65700.0,0,2015-01-21,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Hillsdale,3930 Embaracadero St,4,3,Unknown,2,0,Unknown,62300.0,12460.0,6230.0,43610.0,Jeep,Wrangler,2007,N,Senior,35,17,750/1500,2000,924.44,['rental car coverage'],61144.45,Wednesday,January,2002
37.0,982871,1997-07-27,IN,250/500,500.0,1262.08,0,474615,Male,JD,Tech-Support,Video-Games,Wife,48500.0,0,2015-01-08,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Columbus,3422 Flute St,4,1,Unknown,0,3,No,60170.0,10940.0,10940.0,38290.0,Nissan,Pathfinder,2011,Y,Adult,16,13,500/1000,1500,1262.08,[],58907.92,Thursday,January,1997
26.0,206213,1995-05-08,IL,100/300,500.0,1451.62,0,456446,Male,Associate,Tech-Support,Kayaking,Not-In-Family,0.0,-55700,2015-01-03,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Columbus,4862 Lincoln Hwy,19,1,No,2,2,Unknown,40000.0,8000.0,4000.0,28000.0,BMW,M5,2010,N,Young Adult,6,14,250/500,1000,1741.9439999999997,['roadside assistance'],38548.38,Saturday,January,1995
34.0,616337,2012-08-30,IN,250/500,500.0,1737.66,0,470577,Male,Associate,Transport-Moving,Chess,Unmarried,0.0,-24100,2015-01-01,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Northbrook,5719 2nd Lane,1,1,Unknown,1,1,Unknown,97080.0,16180.0,16180.0,64720.0,BMW,X5,2001,Y,Adult,9,23,500/1000,1500,1737.66,[],95342.34,Thursday,January,2012
38.96292585170341,448961,2006-04-30,IL,500/1000,500.0,1475.93,0,441648,Female,College,Prof-Specialty,Hiking,Husband,0.0,-67400,2015-01-16,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Springfield,3221 Solo Ridge,17,3,Yes,1,0,No,51660.0,5740.0,5740.0,40180.0,Dodge,RAM,2010,N,Adult,3,14,500/1000,1500,1475.93,[],50184.07,Friday,January,2006
30.0,790442,2003-04-13,OH,250/500,500.0,538.17,0,433782,Female,PhD,Transport-Moving,Reading,Own-Child,49700.0,-60200,2015-02-10,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Arlington,6660 MLK Drive,23,1,No,2,2,No,51120.0,5680.0,5680.0,39760.0,Mercedes,E400,2005,N,Adult,8,19,500/1000,1500,538.17,[],50581.83,Tuesday,February,2003
44.0,108844,2007-12-05,IL,100/300,2000.0,1081.08,0,468104,Male,JD,Priv-House-Serv,Reading,Unmarried,36400.0,-28700,2015-02-14,Single Vehicle Collision,Front Collision,Minor Damage,Other,SC,Springfield,1699 Oak Drive,14,1,Yes,0,2,Unknown,56400.0,11280.0,11280.0,33840.0,Toyota,Highlander,2014,N,Adult,22,10,500/1000,1500,1081.08,[],55318.92,Saturday,February,2007
40.0,430029,2006-08-21,IL,250/500,1000.0,1454.43,0,459407,Female,MD,Protective-Serv,Yachting,Husband,0.0,0,2015-02-21,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Arlington,4234 Cherokee Lane,17,3,No,2,3,Unknown,55120.0,6890.0,0.0,48230.0,Accura,MDX,2002,N,Adult,22,22,500/1000,1500,1454.43,[],53665.57,Saturday,February,2006
33.0,529112,1990-01-08,IN,100/300,500.0,1240.47,0,472573,Female,Associate,Other-Service,Polo,Husband,35300.0,0,2015-02-18,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NC,Northbend,7476 4th St,11,3,Yes,1,1,Unknown,77110.0,0.0,14020.0,63090.0,Honda,Civic,2014,N,Adult,13,10,500/1000,1500,1240.47,[],75869.53,Wednesday,February,1990
47.0,939631,1990-03-18,OH,500/1000,2000.0,1273.7,4000000,433473,Male,College,Other-Service,Kayaking,Husband,0.0,0,2015-01-10,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Arlington,8907 Tree Ave,19,3,No,2,1,No,62800.0,6280.0,6280.0,50240.0,Audi,A3,2003,Y,Adult,29,21,500/1000,1500,1273.7,[],61526.3,Saturday,January,1990
34.0,866931,2008-01-07,IN,500/1000,1000.0,1123.87,8000000,446326,Female,PhD,Protective-Serv,Dancing,Other-Relative,0.0,0,2015-02-26,Vehicle Theft,Unknown,Trivial Damage,Police,NY,Arlington,6619 Flute Ave,5,1,Unknown,2,0,Yes,7290.0,810.0,810.0,5670.0,Volkswagen,Passat,1995,N,Adult,14,29,500/1000,1500,1123.87,[],6166.13,Thursday,February,2008
35.0,582011,1997-03-10,IL,100/300,1000.0,1245.89,0,435481,Female,Masters,Exec-Managerial,Movies,Wife,0.0,-40300,2015-01-01,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,Springfield,6011 Britain St,19,1,No,0,0,Unknown,76600.0,15320.0,7660.0,53620.0,Mercedes,C300,2000,N,Adult,16,24,500/1000,1500,1245.89,[],75354.11,Thursday,January,1997
59.0,691189,2004-01-10,OH,250/500,2000.0,1326.62,7000000,477310,Male,MD,Other-Service,Bungie-Jumping,Own-Child,0.0,0,2015-01-03,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Riverwood,5104 Francis Drive,19,3,Unknown,0,3,Yes,81800.0,16360.0,8180.0,57260.0,Nissan,Pathfinder,1998,N,Senior,35,26,750/1500,2000,1061.296,['rental car coverage'],80473.38,Saturday,January,2004
27.0,537546,1994-08-20,IL,100/300,2000.0,1073.83,0,609930,Female,JD,Farming-Fishing,Polo,Husband,0.0,0,2015-01-17,Vehicle Theft,Unknown,Trivial Damage,None,NY,Arlington,2280 4th Ave,4,1,Unknown,1,2,Unknown,7260.0,1320.0,660.0,5280.0,BMW,M5,2008,N,Young Adult,7,16,250/500,1000,1288.5959999999998,['roadside assistance'],6186.17,Saturday,January,1994
39.0,394975,2002-06-02,IN,100/300,1000.0,1530.52,0,603993,Male,College,Armed-Forces,Basketball,Not-In-Family,0.0,0,2015-02-22,Vehicle Theft,Unknown,Minor Damage,None,WV,Northbend,2644 Elm Drive,8,1,Unknown,2,1,Yes,4300.0,430.0,430.0,3440.0,Toyota,Corolla,2000,N,Adult,18,24,500/1000,1500,1530.52,[],2769.48,Sunday,February,2002
40.0,729634,1994-04-28,IN,100/300,500.0,1201.41,0,437818,Female,JD,Priv-House-Serv,Movies,Husband,88400.0,-46500,2015-01-27,Multi-vehicle Collision,Side Collision,Major Damage,Police,NC,Columbus,7466 MLK Ridge,7,3,Yes,1,0,Unknown,70510.0,12820.0,12820.0,44870.0,Suburu,Forrestor,1999,N,Adult,18,25,500/1000,1500,1201.41,[],69308.59,Tuesday,January,1994
39.0,282195,2014-08-17,OH,250/500,1000.0,1393.57,0,478423,Male,PhD,Machine-Op-Inspct,Movies,Not-In-Family,47600.0,-39600,2015-02-27,Parked Car,Unknown,Minor Damage,Police,VA,Northbend,5821 2nd St,5,1,No,0,1,Yes,2640.0,480.0,480.0,1680.0,Ford,F150,2009,N,Adult,16,15,500/1000,1500,1393.57,[],1246.43,Friday,February,2014
26.0,420810,2007-08-11,OH,100/300,1000.0,1276.57,0,467784,Male,PhD,Craft-Repair,Skydiving,Not-In-Family,71500.0,0,2015-01-06,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Arlington,6723 Best Drive,3,1,Yes,1,2,No,78900.0,15780.0,7890.0,55230.0,Chevrolet,Silverado,1995,N,Young Adult,1,29,250/500,1000,1531.8839999999998,['roadside assistance'],77623.43,Tuesday,January,2007
56.0,524836,2008-11-20,IN,250/500,500.0,1082.49,0,606714,Female,PhD,Prof-Specialty,Chess,Unmarried,36100.0,-55000,2015-02-28,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Columbus,4866 4th Hwy,12,3,Unknown,2,3,Unknown,56430.0,0.0,6270.0,50160.0,Honda,CRV,2014,N,Senior,36,10,750/1500,2000,865.9920000000001,['rental car coverage'],55347.51,Saturday,February,2008
32.0,307195,1995-10-18,IN,500/1000,1000.0,1414.74,0,464691,Female,Masters,Adm-Clerical,Hiking,Own-Child,0.0,0,2015-02-22,Parked Car,Unknown,Minor Damage,None,VA,Riverwood,5418 Britain Ave,19,1,No,1,3,No,2400.0,300.0,300.0,1800.0,Chevrolet,Silverado,2014,N,Adult,7,10,500/1000,1500,1414.74,[],985.26,Sunday,February,1995
39.0,623648,1993-05-19,IL,250/500,2000.0,1470.06,0,431683,Male,PhD,Other-Service,Yachting,Husband,56600.0,-45800,2015-01-07,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Riverwood,4296 Pine Hwy,22,1,Yes,0,1,No,65790.0,7310.0,7310.0,51170.0,Saab,93,2007,N,Adult,0,17,500/1000,1500,1470.06,[],64319.94,Wednesday,January,1993
36.0,485372,2005-02-26,OH,250/500,2000.0,870.63,0,431725,Female,MD,Adm-Clerical,Kayaking,Own-Child,94800.0,-58500,2015-01-06,Multi-vehicle Collision,Side Collision,Minor Damage,Police,VA,Hillsdale,2299 1st St,12,3,No,1,1,No,62920.0,11440.0,5720.0,45760.0,Ford,Escape,2000,N,Adult,12,24,500/1000,1500,870.63,[],62049.37,Tuesday,January,2005
34.0,598554,1990-02-14,IN,100/300,500.0,795.23,0,609216,Male,PhD,Machine-Op-Inspct,Base-Jumping,Other-Relative,36900.0,0,2015-01-10,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Springfield,6618 Cherokee Drive,15,3,Yes,2,1,Unknown,69480.0,15440.0,0.0,54040.0,Nissan,Maxima,2014,Y,Adult,12,10,500/1000,1500,795.23,[],68684.77,Saturday,January,1990
44.0,303987,1993-09-30,IL,500/1000,1000.0,1168.2,0,452787,Male,JD,Handlers-Cleaners,Basketball,Husband,69100.0,0,2015-02-11,Multi-vehicle Collision,Side Collision,Total Loss,Other,OH,Springfield,7459 Flute St,23,3,No,0,3,No,44280.0,7380.0,3690.0,33210.0,Honda,Accord,1997,N,Adult,20,27,500/1000,1500,1168.2,[],43111.8,Wednesday,February,1993
32.0,343161,2014-06-10,IL,500/1000,1000.0,993.51,0,468767,Male,High School,Armed-Forces,Bungie-Jumping,Unmarried,0.0,-49500,2015-01-12,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,Hillsdale,3567 4th Drive,12,1,No,0,3,Yes,56300.0,5630.0,11260.0,39410.0,BMW,M5,2011,N,Adult,9,13,500/1000,1500,993.51,[],55306.49,Monday,January,2014
